Data,diamond_emerald_middle
Best Model,"LogisticRegression(C=1, penalty='l1', solver='saga')"
Best Scaler,MinMaxScaler()
Accuracy,0.9940017137960583
total_allInPings_gap,0.0
total_assistMePings_gap,0.0
total_assists_gap,6.623697033834756
total_baitPings_gap,0.0
total_basicPings_gap,0.0
total_bountyLevel_gap,17.24431559262353
total_commandPings_gap,0.0
total_consumablesPurchased_gap,0.0
total_damageSelfMitigated_gap,0.0
total_dangerPings_gap,0.0
total_doubleKills_gap,4.019150503028674
total_enemyMissingPings_gap,0.0
total_enemyVisionPings_gap,0.0
total_itemsPurchased_gap,0.0
total_killingSprees_gap,5.762583039628916
total_largestMultiKill_gap,0.0
total_longestTimeSpentLiving_gap,0.0
total_getBackPings_gap,0.0
total_holdPings_gap,0.0
total_needVisionPings_gap,0.0
total_objectivesStolen_gap,0.0
total_objectivesStolenAssists_gap,0.0
total_onMyWayPings_gap,0.021365033272112165
total_pentaKills_gap,0.0
total_pushPings_gap,0.0
total_quadraKills_gap,0.0
total_timeCCingOthers_gap,0.0
total_totalAllyJungleMinionsKilled_gap,0.0
total_totalDamageShieldedOnTeammates_gap,0.0
total_totalEnemyJungleMinionsKilled_gap,1.9684289814651064
total_totalHeal_gap,0.0
total_totalHealsOnTeammates_gap,0.0
total_totalMinionsKilled_gap,5.174777309835065
total_totalUnitsHealed_gap,0.0
total_tripleKills_gap,0.0
total_visionClearedPings_gap,0.0
total_visionScore_gap,0.23636698685834484
total_visionWardsBoughtInGame_gap,0.0
total_wardsKilled_gap,0.0
total_wardsPlaced_gap,0.0
total_baron_first,1.2069559190573238
total_dragon_first,0.0
total_inhibitor_first,2.816008122731482
total_riftHerald_first,0.5407526326392608
avg_champ_tier_gap,0.0
