Data,silver_early
Best Model,"LogisticRegression(C=0.1, penalty='l1', solver='liblinear')"
Best Scaler,StandardScaler()
Accuracy,0.9673590504451038
total_allInPings_gap,0.0
total_assistMePings_gap,0.0
total_assists_gap,1.165619045484168
total_baitPings_gap,0.0
total_basicPings_gap,0.0
total_commandPings_gap,0.0
total_consumablesPurchased_gap,0.0
total_damageSelfMitigated_gap,0.0
total_dangerPings_gap,0.0
total_doubleKills_gap,0.0
total_enemyMissingPings_gap,0.0
total_enemyVisionPings_gap,0.0
total_itemsPurchased_gap,0.3784449229660122
total_killingSprees_gap,1.203030770184528
total_largestMultiKill_gap,1.0453619009441013
total_longestTimeSpentLiving_gap,-0.1012314274810253
total_getBackPings_gap,0.0
total_holdPings_gap,0.0
total_needVisionPings_gap,0.0
total_objectivesStolen_gap,0.0
total_objectivesStolenAssists_gap,0.0
total_onMyWayPings_gap,0.0
total_pentaKills_gap,0.0
total_pushPings_gap,0.0
total_quadraKills_gap,0.0
total_timeCCingOthers_gap,0.0
total_totalAllyJungleMinionsKilled_gap,0.0
total_totalDamageShieldedOnTeammates_gap,0.0
total_totalEnemyJungleMinionsKilled_gap,0.3341650300541342
total_totalHeal_gap,0.42330340416947926
total_totalHealsOnTeammates_gap,0.0
total_totalMinionsKilled_gap,1.2408724196675245
total_totalUnitsHealed_gap,0.07540185106458384
total_tripleKills_gap,0.0
total_visionClearedPings_gap,0.0
total_visionScore_gap,0.012254763626009564
total_visionWardsBoughtInGame_gap,0.0
total_wardsKilled_gap,0.0
total_wardsPlaced_gap,0.0
total_turretsLost,-0.05089189701932932
total_baron_first,0.0
total_dragon_first,0.0
total_inhibitor_first,0.0
total_riftHerald_first,0.11317405621326533
avg_champ_tier_gap,0.0
