Data,silver_middle
Best Model,"LogisticRegression(C=0.1, penalty='l1', solver='liblinear')"
Best Scaler,StandardScaler()
Accuracy,0.9978094194961665
total_allInPings_gap,0.0
total_assistMePings_gap,0.0
total_assists_gap,0.7816297625072979
total_baitPings_gap,0.0
total_basicPings_gap,0.0
total_bountyLevel_gap,2.9621451103416554
total_commandPings_gap,0.0
total_consumablesPurchased_gap,0.0
total_damageSelfMitigated_gap,0.0
total_dangerPings_gap,0.0
total_doubleKills_gap,0.0
total_enemyMissingPings_gap,0.0
total_enemyVisionPings_gap,0.0
total_itemsPurchased_gap,0.030905780415790993
total_killingSprees_gap,0.6483725235941441
total_largestMultiKill_gap,0.24497690037654424
total_longestTimeSpentLiving_gap,0.0
total_getBackPings_gap,0.0
total_holdPings_gap,0.0
total_needVisionPings_gap,0.0
total_objectivesStolen_gap,0.044423619959307735
total_objectivesStolenAssists_gap,0.0
total_onMyWayPings_gap,0.0
total_pentaKills_gap,0.0
total_pushPings_gap,0.0
total_quadraKills_gap,0.06815574859040184
total_timeCCingOthers_gap,0.0
total_totalAllyJungleMinionsKilled_gap,0.0
total_totalDamageShieldedOnTeammates_gap,0.0
total_totalEnemyJungleMinionsKilled_gap,0.7732740044867238
total_totalHeal_gap,0.34525994618848016
total_totalHealsOnTeammates_gap,0.0
total_totalMinionsKilled_gap,0.7828086201091697
total_totalUnitsHealed_gap,0.0
total_tripleKills_gap,0.0011188869697081622
total_visionClearedPings_gap,0.0
total_visionScore_gap,0.22939722111040445
total_visionWardsBoughtInGame_gap,0.0
total_wardsKilled_gap,0.0
total_wardsPlaced_gap,0.0
total_baron_first,0.16455251954305422
total_dragon_first,0.005026051160082464
total_inhibitor_first,1.1397212359823727
total_riftHerald_first,0.0
avg_champ_tier_gap,0.0
